Date,PPI Input Index,Fuel Input Index,Black Metal Input Index,Base Metal Input Index,Chemical Input Index,Wood and Pulp Input Index,Construction and Non-metal Material Input Index,Other Raw Material Input Index,Subsidiary Agricultural Products Input Index,Fabric Raw Material Input Index
2023-12-01,103.933685433737,109.700103842086,105.737601612832,114.846897980998,100.945772757682,99.9339704933509,95.4539232261232,101.135831059097,100.198949033468,103.363917476851
2023-11-01,103.893745269223,109.865917325294,105.101953268865,115.366077388765,101.172019238173,99.7326502221918,95.1604245478305,101.189634627,100.280770060743,103.215553055693
2023-10-01,104.065855544096,110.142454544228,103.927538507522,115.893722718711,101.462272959531,98.9248973016157,95.2251185081411,101.399328074928,101.654898688961,103.124160413883
2023-09-01,103.860102498071,108.980948317152,103.015096484288,116.179868075595,100.280856448529,98.5774462520815,95.5833419766622,101.403786231902,102.903836467561,102.618425719153
2023-08-01,102.644360932165,106.4602842316,101.311222432985,114.394617626771,97.5156511059488,98.4557498078406,95.9993038715507,100.958854779379,102.553071294127,101.514847942744
2023-07-01,101.878335017343,104.333681619002,100.424115799091,113.017870349788,95.8893535768701,99.3174771394933,96.9893278898882,101.213257133409,100.788227846178,100.858138471321
2023-06-01,102.141413221731,105.920574794879,99.2121172035023,110.614432158282,97.0132052090115,100.735564845604,98.1915187343314,101.259973861134,102.038652266603,100.393060517793
2023-05-01,103.405762896874,109.491099161384,100.025207621806,110.776063536717,99.3524930040028,102.380160591099,99.2637786468216,101.564642407587,103.685956805114,100.233507128836
2023-04-01,104.587849527197,111.744253734374,102.143063177571,111.624388237945,100.590911369227,104.295631544261,99.7872232477993,101.978176497671,105.389320637965,100.090854366336
2023-03-01,106.087348226819,115.865725970613,103.467208386054,112.096230309323,102.350286705032,106.319916143675,99.6278483581985,102.587133766901,107.355635174465,100.337483943281
2023-02-01,106.541775119989,118.948589273573,102.714088930692,112.11220198474,103.127179420023,107.051645578688,99.2348289471917,102.334976167554,107.388308827122,100.501419332547
2023-01-01,113.571271806011,133.175158006586,110.654822010544,125.165912179698,111.70727588723,111.082258837375,104.093700097019,105.191669145756,111.17659765683,104.880086779754
2022-12-01,101.58762093723,101.58762093723,101.58762093723,101.58762093723,101.58762093723,101.58762093723,101.58762093723,101.58762093723,101.58762093723,101.58762093723
2022-11-01,101.486134802428,101.486134802428,101.486134802428,101.486134802428,101.486134802428,101.486134802428,101.486134802428,101.486134802428,101.486134802428,101.486134802428
2022-10-01,101.182587041304,101.182587041304,101.182587041304,101.182587041304,101.182587041304,101.182587041304,101.182587041304,101.182587041304,101.182587041304,101.182587041304
2022-09-01,100.879947199705,100.879947199705,100.879947199705,100.879947199705,100.879947199705,100.879947199705,100.879947199705,100.879947199705,100.879947199705,100.879947199705
2022-08-01,100.07931269812,100.07931269812,100.07931269812,100.07931269812,100.07931269812,100.07931269812,100.07931269812,100.07931269812,100.07931269812,100.07931269812
2022-07-01,100.279872443006,100.279872443006,100.279872443006,100.279872443006,100.279872443006,100.279872443006,100.279872443006,100.279872443006,100.279872443006,100.279872443006
2022-06-01,100.682602854424,100.682602854424,100.682602854424,100.682602854424,100.682602854424,100.682602854424,100.682602854424,100.682602854424,100.682602854424,100.682602854424
2022-05-01,100.783386240665,100.783386240665,100.783386240665,100.783386240665,100.783386240665,100.783386240665,100.783386240665,100.783386240665,100.783386240665,100.783386240665
2022-04-01,100.381858805443,100.381858805443,100.381858805443,100.381858805443,100.381858805443,100.381858805443,100.381858805443,100.381858805443,100.381858805443,100.381858805443
2022-03-01,100.583024855153,100.583024855153,100.583024855153,100.583024855153,100.583024855153,100.583024855153,100.583024855153,100.583024855153,100.583024855153,100.583024855153
2022-02-01,100.182295672463,100.182295672463,100.182295672463,100.182295672463,100.182295672463,100.182295672463,100.182295672463,100.182295672463,100.182295672463,100.182295672463
2022-01-01,113.399718997356,124.234194229909,119.827685088075,127.506910288886,116.983133408204,106.595432142389,109.766334391674,104.859719424741,105.564545059272,108.850973796657
2021-12-01,114.331945441022,130.786998019523,117.666942858112,123.358586299841,119.737035966318,107.495148812991,112.652380223418,104.904667428045,104.662952149144,109.556966317891
2021-11-01,116.689093445543,137.432818381092,121.737212143549,127.123182685946,123.070749890788,107.391572178322,113.836974753181,105.363667998976,105.000327176396,108.925700986855
2021-10-01,115.790825945322,133.458951571253,124.614352459649,127.486469553961,121.658963881109,106.864356983192,111.803982797257,105.305964491768,103.307152684757,107.415117548002
2021-09-01,112.712455835628,123.487023061115,124.972877825436,124.128157650781,116.823399291611,106.338908535161,105.624057690736,104.687030741023,103.411748160406,105.866597425564
2021-08-01,111.251996983375,118.684956736294,126.483526025676,122.035667633196,115.528160693145,106.014034860822,103.089754762155,103.915693159517,103.257922920383,104.580486136951
2021-07-01,110.67941054759,116.053909276355,127.272668208848,122.433591601078,113.887828404384,106.120363868225,103.249901215335,103.613113868257,103.805408405427,103.83225407029
2021-06-01,110.472898350968,114.405862528915,126.795410970126,124.432055160666,113.140651116311,106.229129774991,103.717356550986,103.414442620586,104.810112701814,103.440422338735
