Date,PPI Output Index,PPI Output - Means of Production Index,PPI Output - Means of Subsistence Index
2021-10-01,111.2050450199,114.900775186655,100.085882584199
2021-09-01,108.465600224327,111.179137965014,99.9744873735357
2021-08-01,107.15654243327,109.481321397697,99.9506737415734
2021-07-01,106.363000034098,108.43217929994,99.9026476792448
2021-06-01,105.80016891355,107.777345235696,99.8066876679227
2021-05-01,105.505329042936,107.309975606403,100.014402139226
2021-04-01,103.799136291804,105.049878814972,100.030668712739
2021-03-01,102.837042620028,103.745203546584,99.9620747507263
2021-02-01,101.215418543362,101.658548914872,99.8247001012501
2021-01-01,100.435850284448,100.626308436937,99.8494002025003
2020-12-01,99.5759411573232,99.557921812128,99.6994016017969
2020-11-01,98.4925233999241,98.1833548443077,99.599801799997
2020-10-01,98.0025108456956,97.5008489019938,99.5003014984985
2020-09-01,98.0025108456956,97.4034454565372,99.5999013998984
2020-08-01,97.9046062394562,97.2090274017338,99.6996010008993
2020-07-01,97.6117709266761,96.8217404399739,99.6000009998994
2020-06-01,97.22287940904,96.34004023878,99.5005004994
2020-05-01,96.83553726,95.860736556,99.4010994
2020-04-01,97.224435,96.3424488,99.7002
2020-03-01,98.505,98.1084,99.8
2020-02-01,99.5,99.3,100
2020-01-01,100,100,100
2019-12-01,99.9879222677325,100.029106438255,100.049900402509
2019-11-01,99.9901659054013,100.006078088938,100.32671360649
2019-10-01,100.097482956009,100.206456687644,100.01346835947
2019-09-01,100.051097610497,100.207881356444,99.7069631921097
2019-08-01,99.9269029460247,100.21168676159,99.1579399113607
2019-07-01,100.019495125797,100.372960783758,98.9338336696218
2019-06-01,100.224853791214,100.619351032693,98.9204459100594
2019-05-01,100.541273274215,101.017906049806,98.9135062386118
2019-04-01,100.33770316576,100.849209421557,98.8127967150586
2019-03-01,100.021333268354,100.484160690966,98.6160831872023
2019-02-01,99.910505125036,100.293311903494,98.6177062878813
2019-01-01,99.9553077703883,100.347459164598,98.7165529150195
2018-12-01,100.524516933593,101.200373862036,98.7412480283432
2018-11-01,101.474910331955,102.551821676288,98.7440066945308
2018-10-01,101.701675585287,102.870887627093,98.5897623315712
2018-09-01,101.281391377407,102.255141862668,98.6059411025362
2018-08-01,100.705046239743,101.537964535674,98.488046482577
2018-07-01,100.312143705681,101.056662493976,98.1710552989188
2018-06-01,100.21839278256,100.938912086018,98.0066040359759
2018-05-01,99.9301302024804,100.476089297155,98.0189146238412
2018-04-01,99.4873604455943,99.9629353576491,97.9751643064987
2018-03-01,99.6547879070862,100.173435871397,98.0993467258534
2018-02-01,99.8325956657467,100.38394492449,98.2603728313511
2018-01-01,99.8939902560055,100.466168212757,98.1940795145918
2017-12-01,99.6115353902135,100.182030580786,98.0754237557703
2017-11-01,98.8140428955697,99.2820787459457,97.9199942643168
2017-10-01,98.3875830307981,98.7071997029967,97.8633017023045
2017-09-01,97.7328091088995,97.7925103460663,97.7944452172637
2017-08-01,96.7519573641609,96.5282501241932,97.7500854968488
2017-07-01,95.8948338765376,95.3600602093503,97.618987555212
2017-06-01,95.7114999403582,95.1526794630865,97.6175635166379
2017-05-01,95.9488339695666,95.3358620812089,97.7205081035198
2017-04-01,96.2267812571124,95.6885241881794,97.8478067247145
2017-03-01,96.6358061886444,96.2471026621125,97.924646061876
2017-02-01,96.3086749733289,95.7772341721764,97.9455597364969
2017-01-01,95.7549535932647,95.0799314496898,97.8740452019629
2016-12-01,94.976779658192,94.1007377399565,97.6330870752299
2016-11-01,93.4390491550439,92.3055236622517,97.3385211387661
2016-10-01,92.0476022999267,90.5263376906417,97.1154207525353
2016-09-01,91.4161327356231,89.6328510813121,97.1150317353857
2016-08-01,90.9895799688992,89.1143431864948,97.1410573671207
2016-07-01,90.8517705874882,88.8600882483431,97.1858083066216
2016-06-01,90.6961153096834,88.6367050720847,97.1588561516381
2016-05-01,90.9123165541241,88.8766200920152,97.1482690815446
2016-04-01,90.4493603303903,88.2661773660214,97.1579511866087
2016-03-01,89.8154224090589,87.405075030226,97.2495724427153
2016-02-01,89.3543616357734,86.7761168400684,97.1603170234975
2016-01-01,89.5987782435833,87.1807595562395,97.0802604175836
2015-12-01,90.0372034613262,87.7879328903375,96.9207492226174
2015-11-01,90.5173762982852,88.4979613888943,96.9357337441603
2015-10-01,90.964183120291,89.1112700804866,97.0255844304281
2015-09-01,91.3271545262428,89.5511865905314,97.1188694364757
2015-08-01,91.708648575682,90.0531125398867,97.0814524780037
2015-07-01,92.4355976872373,90.9573619084029,97.1336303923127
2015-06-01,93.1021848265811,91.8174602343604,97.1948713281074
2015-05-01,93.5036395269062,92.3315461706648,97.2689131598175
2015-04-01,93.6150574762399,92.4246433772203,97.3107848297127
2015-03-01,93.873881910409,92.6955301268886,97.4263271940909
2015-02-01,93.963084520344,92.7984997788533,97.488423146994
2015-01-01,94.6193724799276,93.6889600922162,97.5282620345943
2014-12-01,95.6771155005075,95.0139073408018,97.4679385509258
2014-11-01,96.2236959089676,95.7785815095897,97.3964862153024
2014-10-01,96.6874009019743,96.3987451630043,97.4058658136894
2014-09-01,97.0645014472852,97.0012497827927,97.4084842791996
2014-08-01,97.4565156712262,97.5271811531683,97.3910287383981
2014-07-01,97.6819338025113,97.7596029098452,97.4084684275304
2014-06-01,97.7880630744954,97.8719392652572,97.3990595284482
2014-05-01,97.9981159493626,98.1435520060499,97.5290770191057
2014-04-01,98.1126016133825,98.230696781551,97.5174367208317
2014-03-01,98.3547577785315,98.5168732594955,97.5206438829839
2014-02-01,98.6757144711155,98.922412944499,97.553326519567
2014-01-01,98.8721395161406,99.2334264613473,97.6385179865342
2013-12-01,98.956659501857,99.2582531161501,97.6997596609314
2013-11-01,98.9252444009633,99.2553345941319,97.5968699282147
2013-10-01,98.8938087556832,99.3674194679985,97.4526181856732
2013-09-01,98.868748291938,99.3769729423972,97.333218014422
2013-08-01,98.6558017643879,99.1467748833886,97.2163087499264
2013-07-01,98.5631499100407,98.9479218185354,97.1667129131139
2013-06-01,98.8677124124152,99.353838959622,97.1856815705531
2013-05-01,99.427034668614,100.049307004997,97.3574253290821
2013-04-01,100.07104873062,100.803730283931,97.5837910812331
2013-03-01,100.672635527431,101.539058731789,97.6987742944204
2013-02-01,100.681070044897,101.498971901535,97.8217189931078
2013-01-01,100.479963203345,101.277488786597,97.877016962218
2012-12-01,100.320564013635,101.076494470743,97.6420119153201
2012-11-01,100.375423737128,101.177691624008,97.5219190027647
2012-10-01,100.437852740049,101.337148291178,97.4872685942189
2012-09-01,100.204174448949,101.115238322191,97.4102636892943
2012-08-01,100.282220035274,101.244986777344,97.2160703875851
2012-07-01,100.834810251335,101.983432242102,97.1913916503495
2012-06-01,101.629604714212,102.985456996731,97.1885366104513
2012-05-01,102.371280530881,103.961051161497,97.2243508871848
2012-04-01,102.762379998833,104.471646316222,97.2581331112061
2012-03-01,102.589863889622,104.309904710074,97.186841439892
2012-02-01,102.30058772991,103.996379618456,97.1157392964891
2012-01-01,102.156086541903,103.778360426577,97.2047963638019
2011-12-01,102.260958383066,103.881765975293,97.1319597183197
