时间,商品零售价格指数(YOY),食品类商品零售价格指数(YOY),饮料、烟酒类商品零售价格指数(YOY),服装、鞋帽类商品零售价格指数(YOY),纺织品类商品零售价格指数(YOY),家用电器及音像器材类商品零售价格指数(YOY),文化办公用品类商品零售价格指数(YOY),日用品类商品零售价格指数(YOY),体育娱乐用品类商品零售价格指数(YOY),交通、通信用品类商品零售价格指数(YOY),家具类商品零售价格指数(YOY),化妆品类商品零售价格指数(YOY),金银珠宝类商品零售价格指数(YOY),中西药品及医疗保健用品类商品零售价格指数(YOY),书报杂志及电子出版物类商品零售价格指数(YOY),燃料类商品零售价格指数(YOY),建筑材料及五金电料类商品零售价格指数(YOY),商品零售价格指数(上月=100),食品类商品零售价格指数(上月=100),饮料、烟酒类商品零售价格指数(上月=100),服装、鞋帽类商品零售价格指数(上月=100),纺织品类商品零售价格指数(上月=100),家用电器及音像器材类商品零售价格指数(上月=100),文化办公用品类商品零售价格指数(上月=100),日用品类商品零售价格指数(上月=100),体育娱乐用品类商品零售价格指数(上月=100),交通、通信用品类商品零售价格指数(上月=100),家具类商品零售价格指数(上月=100),化妆品类商品零售价格指数(上月=100),金银珠宝类商品零售价格指数(上月=100),中西药品及医疗保健用品类商品零售价格指数(上月=100),书报杂志及电子出版物类商品零售价格指数(上月=100),燃料类商品零售价格指数(上月=100),建筑材料及五金电料类商品零售价格指数(上月=100)
2007年4月,2.2,6.9,1.8,-0.2,0.4,-2,-2.8,0.9,-2.6,-7.3,1.6,0.4,9.9,0.6,-0.4,4.4,5.1
2007年3月,2.5,7.7,1.7,-0.2,0.4,-2.2,-2.6,0.9,-2.6,-7.3,1.5,0.4,13.6,0,-0.3,5.4,5.4
2007年2月,1.9,5.8,1.8,0.2,-0.1,-2.3,-2.5,0.9,-2.7,-7.3,1.2,0.3,13.8,-0.1,-0.3,5.3,5.5
2007年1月,1.8,4.9,1.7,0.5,0.9,-2.2,-2.4,1.1,-2.5,-7.3,1.4,0.4,15.5,-0.1,-0.1,6.3,5.4
2006年12月,2.4,6.2,1.6,0.3,0.6,-2.3,-2.5,0.8,-1.8,-7.5,1.5,0.3,18.6,-0.2,-0.2,9,5.1
2006年11月,1.5,3.7,1.1,0.3,0.5,-2.2,-2.5,0.9,-1.7,-7.3,1.2,0.1,21.5,-0.3,-0.2,8.3,4.8
2006年10月,1.1,2.3,1,0.2,0.3,-2.3,-2.5,1,-1.7,-7.5,0.9,0,22.1,-0.5,-0.2,9.7,4.3
2006年9月,1.2,2.5,0.8,-0.1,0.4,-2.3,-2.4,0.9,-1.5,-7.7,0.7,-0.1,24.1,-0.6,-0.2,11.6,4
2006年8月,0.9,1.5,0.8,0,0.2,-2.3,-2.3,0.9,-1.5,-7.8,0.3,0,25.8,-0.5,0.3,11.7,3.6
2006年7月,0.7,0.8,0.7,0,0.1,-2.5,-2.4,0.7,-1.6,-7.9,0.1,-0.1,25.3,-0.6,0.4,13.7,3.5
2006年6月,1.3,2.5,0.6,0,0,-2.8,-2.2,0.8,-1.5,-7.8,-0.2,-0.1,25.6,-0.8,0.4,16.5,3.4
2006年5月,1,2.3,0.5,0,-0.2,-3.3,-2.2,0.7,-1.3,-7.8,-0.3,-0.2,26.2,-1.1,0.4,13.4,2.6
2006年4月,0.6,2.1,0.5,-0.1,-0.4,-3.5,-2.1,0.7,-1.2,-7.8,-0.5,-0.5,16.5,-1.2,0.4,12.9,1.5
2006年3月,0.2,1.1,0.4,-0.3,-0.4,-3.1,-2.4,0.7,-1.3,-7.7,-0.7,-0.5,11.6,-1.3,0.4,13.2,1
2006年2月,0.4,1.6,0.3,-1.2,-0.3,-3,-2.5,0.7,-1.2,-7.5,-0.8,-0.5,10.5,-1.5,0.4,14.7,1.1
2006年1月,1,4.1,0.2,-1.6,-0.7,-3,-2.5,0.6,-1.7,-7.9,-1.1,-0.4,8,-1.6,0.4,14.8,1.1
2005年12月,0.9,2.6,0.3,-0.7,-0.2,-2.6,-2.7,0.7,-1.6,-6.9,-1,-0.5,5.8,-1.9,0.4,14.1,2.4
2005年11月,0.6,1.8,0.3,-0.8,-0.2,-2.8,-3.1,0.6,-1.6,-7.1,-0.9,-0.6,4.5,-1.9,0.4,13.2,2.4
2005年10月,0.4,1.5,0.4,-1,0,-2.9,-3.1,0.4,-1.9,-7.4,-1,-0.6,4.5,-1.9,0.4,12.9,2.3
2005年9月,0,0.5,0.4,-1.4,-0.3,-3,-3.3,0.3,-1.8,-7.5,-1.1,-0.8,4.2,-1.9,0.5,14.4,2.2
2005年8月,0.3,1.2,0.3,-2,-0.3,-3.2,-3.5,0.3,-1.5,-8,-0.8,-0.7,3.8,-1.9,0.5,16.7,2.2
2005年7月,0.8,2.6,0.4,-2.2,-0.4,-3.2,-3.5,0.3,-1.5,-8,-0.9,-0.7,3.7,-2,0.4,16.9,2.3
2005年6月,0.5,2.3,0.5,-2.5,-0.2,-3.4,-3.7,0.1,-1.5,-8.5,-0.7,-0.8,3.5,-2.2,0.2,14.7,2.3
2005年5月,0.6,3,0.4,-2.7,-0.3,-3.8,-3.7,0,-1.5,-9,-0.9,-0.9,3.4,-2.6,0.2,15.6,2.2
2005年4月,0.6,3.3,0.6,-3,-0.3,-4.2,-3.6,0,-1.5,-9.2,-1,-0.7,3.4,-2.8,0.2,16.5,2.1
2005年3月,1.4,5.8,0.7,-3.2,-0.1,-4.7,-3.3,-0.1,-1.6,-9.2,-0.8,-0.6,4.7,-3,0.2,17.3,1.6
2005年2月,2.4,9,0.8,-2.7,-0.3,-5.1,-3,-0.1,-1.4,-9.3,-0.8,-0.8,5.5,-3.2,0.1,17,1.7
2005年1月,0.9,4.1,0.7,-2.2,0,-5.2,-3.2,-0.1,-1.4,-9.3,-0.8,-0.9,6.3,-3.2,0.5,16.4,2
2004年12月,1.3,4.9,0.8,-2.2,0,-5.3,-3.3,-0.2,-1.6,-9.2,-0.8,-1,8.3,-3.5,0.5,17.1,2.1
2004年11月,1.9,6.1,1,-2.2,0.1,-5.3,-3.1,-0.1,-1.5,-9,-0.9,-1,9.4,-3.6,0.5,21.6,2.6
2004年10月,3.4,10.1,1.2,-2.3,0.1,-5.4,-3.1,-0.1,-1.3,-8.7,-0.9,-0.9,10.1,-3.5,0.5,23.2,3.8
2004年9月,4.3,13.1,1.2,-2,0.2,-5.2,-3,-0.1,-1.3,-8.5,-1,-0.8,11,-3.6,0.4,20.2,4.4
2004年8月,4.4,14.1,1.3,-2.1,0.2,-5.1,-2.8,-0.2,-1.7,-8.1,-1.2,-0.7,12.5,-4,1.1,17.1,4.3
2004年7月,4.4,15.1,1.3,-2.1,0.2,-5.2,-2.7,-0.2,-1.8,-8,-1.2,-0.9,12.7,-4.4,1.2,14.2,4.1
2004年6月,4.1,14.3,1.2,-1.8,-0.2,-5.4,-2.7,-0.3,-2,-7.8,-1.2,-1.1,12.4,-5.3,1.4,13.6,4
2004年5月,3.3,11.9,1.1,-1.7,-0.2,-5.6,-2.6,-0.4,-2,-7.6,-1.2,-1.3,13.2,-5.7,1.4,11.7,4.1
2004年4月,2.6,10,1,-1.6,0,-5.4,-2.8,-0.6,-2,-7.7,-1.2,-1.4,13.1,-3.5,1.4,6.1,4
2004年3月,1.7,7.6,0.7,-1.3,0,-5.5,-3.3,-0.6,-2,-8,-1.4,-1.4,11.7,-0.8,1.4,1.8,4
2004年2月,0.9,5.3,0.6,-1.3,0,-5.3,-4,-0.8,-2.1,-7.9,-1.6,-1.1,11.9,-0.8,1.5,1,3.6
2004年1月,1.7,7.8,0.7,-1.5,-0.2,-5.4,-4.3,-1,-2.1,-8.4,-1.7,-1.2,13.9,-0.6,4.1,2.5,3.2
2003年12月,1.9,8.6,0.5,-1.9,-0.2,-5.5,-4.2,-1.2,-2.1,-9,-2,-1,13.7,-0.7,1.3,5.6,2.8
2003年11月,1.4,8.1,0.2,-1.8,-0.4,-5.5,-4.2,-1.3,-2.1,-9,-2.2,-1.1,11.7,-0.8,1.3,2.5,2.1
2003年10月,0.3,5.1,0,-1.8,-0.8,-5.5,-4.2,-1.3,-2.1,-9.1,-2.2,-1.2,10.2,-1.2,1.2,1.6,0.8
2003年9月,-0.4,3,-0.1,-2.1,-0.8,-5.6,-4.2,-1.6,-2.3,-8.9,-2.1,-1.4,8.9,-1.2,1.1,4.6,-0.2
2003年8月,-0.7,1.9,-0.1,-2.2,-0.8,-5.8,-4.4,-1.5,-2.1,-9,-2.1,-1.6,7.2,-1.4,0,6.2,-0.5
2003年7月,-1.2,0.3,-0.3,-2.3,-0.7,-5.8,-4.4,-1.5,-2.1,-8.8,-2.1,-1.3,6.9,-0.8,-0.1,7,-0.7
2003年6月,-1.3,-0.2,-0.3,-2.6,-0.6,-5.8,-4.1,-1.6,-1.9,-8.7,-2,-0.9,7.3,0.2,-0.1,7.5,-0.9
2003年5月,-0.6,1.8,-0.3,-2.6,-0.6,-5.7,-4.3,-1.6,-1.9,-9,-2.1,-0.7,7.2,0.9,-0.1,8.1,-1.2
2003年4月,0.1,3.6,-0.3,-2.6,-0.8,-6,-4.6,-1.6,-1.8,-8.9,-2.1,-0.9,8,-1.4,-0.1,14.4,-1.2
2003年3月,0.2,3.7,-0.3,-3,-0.8,-6.1,-4.4,-1.7,-1.7,-8.9,-2.2,-0.8,8.7,-4,-0.2,19.3,-1.4
2003年2月,-0.3,2.4,-0.3,-3.4,-1.1,-6.2,-3.7,-1.8,-1.5,-9,-2.4,-0.9,8.1,-4.2,-0.1,19.9,-1.6
2003年1月,-0.6,2.2,-0.3,-3.5,-1.2,-6.2,-3.2,-1.8,-1.6,-8.7,-2.3,-1,5.3,-4.8,-0.3,18.1,-1.7
2002年12月,-0.3,1.3,-0.4,-2.2,-0.6,-5.6,,-1.4,,,,-2.1,8.2,-3.7,1,11.6,
2002年11月,-0.9,0.4,-0.4,-2.4,-0.8,-5.7,,-1.3,,,,-2.2,6,-3.9,1,8.4,
2002年10月,-1.2,-0.6,-0.4,-2.5,-0.6,-5.7,,-1.4,,,,-1.8,5.5,-3.7,0.9,7.6,
2002年9月,-1,0.1,-0.2,-2.4,-0.7,-5.8,,-1.4,,,,-1.8,5.4,-3.6,0.9,6.8,
2002年8月,-1.1,-0.1,-0.1,-2.2,-0.7,-5.9,,-1.4,,,,-1.7,5,-3.3,0.9,5.6,
2002年7月,-1.1,0.3,0,-2.1,-0.8,-6.1,,-1.5,,,,-1.8,2.5,-3.2,0.6,3.3,
2002年6月,-0.8,1.3,0,-1.9,-0.7,-6.1,,-1.3,,,,-1.7,1.6,-3.2,0.8,1.4,
2002年5月,-1.8,-1.4,0.1,-1.7,-0.6,-5.8,,-1.3,,,,-1.6,-0.1,-3.6,0.8,0.3,0.3
2002年4月,-2.1,-2.1,0.2,-1.9,-0.6,-5.9,,-1.3,,,,-1.4,-2.7,-3.7,0.6,-1.6,
2002年3月,-1.8,-0.6,0.2,-2.1,-0.6,-5.5,,-1.2,,,,-1.3,-5.6,-3.7,0.6,-5.8,
2002年2月,-1.1,1.3,0.1,-1.8,-0.5,-6,,-1,,,,-1.2,-6.9,-3.4,0.5,-6.2,
2002年1月,-2,-1.3,0,-1.7,-0.6,-5.8,,-0.9,,,,-1,-7.8,-2.7,1,-6.8,
2001年12月,-1.8,-0.8,-0.1,-1.1,-0.9,-6.6,,-1.6,,,,-1,-8.3,-2.3,1.3,-5,
2001年11月,-1.7,-0.8,-0.1,-0.9,-0.8,-6.5,,-1.7,,,,-1.3,-8.3,-2.4,1.2,-3.3,
2001年10月,-0.8,1.6,-0.1,-1.1,-0.7,-6.3,,-1.7,,,,-1.2,-9.5,-2.8,1.6,-3.7,
2001年9月,-1.3,0.8,-0.2,-1.3,-0.7,-6.2,,-1.7,,,,-1.1,-10.6,-2.9,2,-5.5,
2001年8月,-1.2,0.6,-0.4,-1.2,-1,-6.4,,-1.8,,,,-1.3,-10.9,-2.5,10.8,-5.2,
2001年7月,-0.2,2.7,-0.5,-0.9,-1,-6.6,,-1.7,,,,-1.3,-9.3,-2.3,11.5,-2.1,
2001年6月,-0.1,2.2,-0.5,-1,-1.1,-6,,-1.8,,,,-1.5,-9.2,-1.7,11.5,3.3,
2001年5月,0.1,2.7,-0.4,-1.3,-1,-6.1,,-1.7,,,,-1.2,-9.9,-0.9,11.7,5.7,
2001年4月,0.1,2.3,-0.9,-1.3,-1.1,-5.9,,-1.6,,,,-1.3,-9.8,-0.4,11.6,8.7,
2001年3月,-0.9,-0.6,-0.9,-1.6,-1.1,-5.6,,-1.6,,,,-1.4,-9,-0.3,11.5,11.5,
2001年2月,-1.7,-2.9,-0.9,-1.3,-0.8,-5.6,,-1.6,,,,-1.5,-8.7,-0.1,11.4,10.9,
2001年1月,-0.5,-0.1,-0.8,-0.8,-0.8,-5.8,,-1.6,,,,-0.9,-8.4,0.1,10.8,13.6,
2000年12月,-0.4,0.2,-1.3,-0.3,-0.8,-6.8,,-1.6,,,,-1.4,-8,0.5,11.2,16.2,
2000年11月,-0.6,-0.7,-1.4,-0.1,-1,-6.9,,-1.6,,,,-1.4,-8,0.9,11,19.4,
2000年10月,-1.7,-4.1,-1.5,-0.3,-1,-6.7,,-1.5,,,,-1.8,-3.4,1.1,11.2,21.3,
2000年9月,-1.5,-3.7,-1.7,-0.5,-1.2,-6.6,,-1.6,,,,-1.5,1.6,1,11,22.6,
2000年8月,-1.3,-2.5,-1.9,-1.1,-0.9,-6.4,,-1.7,,,,-1.3,2.2,0.4,2.9,22,
2000年7月,-1.2,-2.5,-2,-0.7,-1.1,-5.9,,-1.7,,,,-1.3,0,0.1,2.3,23.4,
2000年6月,-1.4,-2.4,-2.2,-0.9,-1.3,-6.1,,-1.8,,,,-0.6,-2.3,-0.1,2.4,22.3,
2000年5月,-1.9,-3.3,-2.4,-1,-1.5,-6,,-2.1,,,,-0.9,-2.8,-0.3,2.4,17.9,
2000年4月,-2.4,-4,-2.4,-1,-2,-6.1,,-2.2,,,,-0.4,-2.3,-0.3,2.4,13.9,
2000年3月,-2.1,-3.1,-2.5,-1.1,-1.9,-6.6,,-2.4,,,,-0.5,-2,-0.4,2.3,12.5,
2000年2月,-1.4,-0.9,-2.6,-1.4,-2,-6.6,,-2.4,,,,-0.7,-2,-0.3,2.7,10.9,
2000年1月,-2.1,-2.9,-2.5,-1.4,-2,-6.3,,-2.3,,,,-1,-1.7,0,2.6,10.3,
1999年12月,-3,-4.7,-2.7,-2.4,-2.3,-6.8,,-2.3,,,,-0.6,-1.6,-0.1,4.6,7.9,
1999年11月,-2.8,-4,-2.8,-2.4,-2.2,-6.8,,-2.4,,,,-0.5,-1,-0.1,4.7,5.6,
1999年10月,-2.6,-3.3,-2.8,-2.7,-2.1,-6.7,,-2.3,,,,-0.2,-3.5,0.1,5.1,5.2,
1999年9月,-2.8,-3.9,-2.7,-2.8,-2.1,-6.8,,-2.3,,,,-0.4,-7.4,0.3,5.1,5.3,
1999年8月,-2.6,-3,-2.6,-2.9,-2.3,-6.8,,-2.2,,,,-0.3,-7.7,0.6,4.9,3.7,
1999年7月,-2.6,-3.1,-2.7,-3.2,-2.2,-6.3,,-2,,,,-0.3,-5.7,0.9,5.1,-0.1,
1999年6月,-3.4,-5.1,-2.5,-3.1,-2,-6.1,,-2.1,,,,-0.4,-4.2,0.9,5,-2.4,
1999年5月,-3.5,-5.5,-2.6,-2.9,-2.1,-6,,-2.1,,,,-0.5,-4.6,1.8,5.1,-3.1,
1999年4月,-3.5,-5.4,-2.7,-2.9,-1.8,-5.6,,-2,,,,-0.5,-5.8,1.6,5.1,-3.9,
1999年3月,-3.2,-4.8,-2.7,-2.6,-1.7,-4.7,,-2,,,,-0.5,-7.1,2,5.1,-4.6,
1999年2月,-2.8,-3.6,-2.8,-2.3,-1.7,-4.8,,-2.1,,,,-0.1,-8.7,2.2,4.6,-4.5,
1999年1月,-2.8,-3.5,-2.7,-2.1,-1.4,-4.7,,-1.8,,,,0,-8.8,2.1,4.8,-4.2,
1998年12月,-2.7,-2.7,-2.3,-1.9,-1.7,-5.1,,-1.8,,,,-0.1,-9.8,2.8,4.6,-4.2,
1998年11月,-2.8,-3.3,-1.9,-1.8,-1.5,-5.4,,-1.6,,,,0,-10.3,2.8,4.5,-4.3,
1998年10月,-2.9,-3.4,-1.8,-1.6,-1.6,-6.1,,-1.6,,,,0.1,-11,2.8,4.1,-5.2,
1998年9月,-3.3,-4.1,-1.5,-1.8,-1.3,-6.2,,-1.4,,,,0.1,-11.3,3.2,4.1,-5.5,
1998年8月,-3.3,-4.4,-1.1,-1.5,-1.1,-6.1,,-1.5,,,,0.4,-11.2,3.1,5.3,-5.7,
1998年7月,-3.2,-4.5,-1,-1.3,-0.9,-6.4,,-1.4,,,,0.5,-11.2,3.1,5.3,-5.3,
1998年6月,-3,-4.1,-1.1,-0.9,-0.8,-6.4,,-1.1,,,,0.4,-10.7,3.2,5.3,-4.3,
1998年5月,-2.7,-3.8,-1,-0.4,-0.5,-6.6,,-0.7,,,,0.6,-9.4,2.7,5.4,-3.9,
1998年4月,-2.1,-2.8,-0.8,0.1,-0.4,-6.4,,-0.5,,,,0.7,-8,2.7,5.1,-2.8,
1998年3月,-1.2,-0.6,-0.8,0.3,-0.4,-6.6,,-0.1,,,,0.9,-6.1,2.4,5.4,-2,
1998年2月,-1.9,-2.9,-0.6,0.7,-0.1,-6.2,,0,,,,1.1,-4.9,2.2,6.1,-1.7,
1998年1月,-1.5,-2.3,-0.4,1.1,0,-6.1,,0.2,,,,1.3,-5.2,2.2,6,-1.5,
1997年12月,-1.2,-2.8,-0.2,2.6,0.8,-5.8,,1,,,,1.5,-4.4,2.9,7.2,0.8,
1997年11月,-0.8,-2.1,-0.2,2.1,0.9,-5.6,,1,,,,1.7,-3.9,3.2,7.6,4.4,
1997年10月,-0.4,-1.7,0,2.3,1.1,-5.3,,1.4,,,,1.6,-3.5,3.7,7.9,6.2,
1997年9月,0,-1,0,2.6,1.4,-5.1,,1.6,,,,1.8,-3.2,3.5,8.2,6.7,
1997年8月,0.1,-1.1,0,3,1.7,-4.9,,2.1,,,,2,-2.7,3.4,12.4,7.4,
1997年7月,0.6,0,0.1,3.1,1.7,-4.6,,2.2,,,,2.3,-2.1,3.8,13.1,7.5,
1997年6月,0.8,-0.1,0.5,3.4,1.7,-4.3,,2.5,,,,2.6,-1.6,4.2,14.1,7.3,
1997年5月,0.8,-0.6,1.1,3.7,2,-3.9,,2.7,,,,2.4,-1.6,4.6,14.1,8,
1997年4月,1.1,-0.3,2.1,4.2,2.2,-3.7,,2.8,,,,2.6,-1.3,5,14.4,8.4,
1997年3月,1.7,0.7,3.2,4.5,2.8,-3.3,,3.2,,,,2.8,-1.4,5.5,14.6,9.6,
1997年2月,2.9,3.2,3.5,4.7,3,-3.1,,3.4,,,,3,-0.8,6.2,19.5,10.6,
1997年1月,3.3,3.5,4.1,5.2,3.4,-3,,3.7,,,,3.2,-0.3,6.6,20.2,10.6,
1996年12月,4.4,4.8,4.2,7.1,4.2,-2.4,,3.7,,,,4.3,-0.2,6.9,38.1,9.4,
1996年11月,4.6,5.2,4.3,7.7,4.4,-2.2,,3.9,,,,4.2,-0.1,7,38.1,6.3,
1996年10月,4.7,5.6,4.7,7.3,4.5,-2,,4,,,,4.3,-0.3,7.3,37.8,4.9,
1996年9月,5,5.9,4.8,7.8,4.9,-1.9,,4.3,,,,4.7,-0.4,7.9,38.8,4.3,
1996年8月,5.8,7.8,5,7.5,5.6,-1.8,,4.4,,,,4.2,-0.4,8.4,38.3,3.9,
1996年7月,5.8,7.7,5.3,7.9,6,-1.6,,4.5,,,,4.4,-0.5,8.7,38.2,4.1,
1996年6月,5.9,7.6,5.2,8,6.1,-1.3,,5.1,,,,4.8,-0.7,9.1,37.4,4.4,
1996年5月,6.5,8.4,5.3,8.6,6.7,-1,,5.6,,,,5.1,-0.7,9.4,37.6,4.4,
1996年4月,7.4,10.4,5.2,8.7,7.6,-0.8,,6.3,,,,5.7,-0.6,9.7,37.6,4.9,
1996年3月,7.7,10.6,5.5,9.4,8,-0.5,,6.8,,,,5.6,-0.8,10.1,37.2,4.3,
1996年2月,7.7,9.8,5.8,10.5,9.2,-0.3,,7.3,,,,6.1,-1.1,10.4,31.6,4.3,
1996年1月,7.6,8.8,5.9,11.4,10.2,0,,7.8,,,,6.6,-1,11,32.4,4.6,
1995年12月,8.3,10.5,6.4,12.6,11,0.1,,8.7,,,,7.1,-1.1,12.1,17.2,4.7,
1995年11月,9.2,12.5,6.6,13.2,11.5,0.2,,8.8,,,,7.4,-1,12.3,17,5.1,
1995年10月,10.3,14.9,6.6,13.5,12,0.2,,9.3,,,,7.7,-1.2,12.5,17.2,5.8,
1995年9月,11.4,17.3,6.4,14.6,12.6,0.3,,9.6,,,,8.6,-1.1,12.3,16.5,5.9,
1995年8月,12.3,19.3,6.4,15.9,13.4,0.6,,9.6,,,,9.7,-1,12.1,14.4,5.7,
1995年7月,14.6,24.4,6.8,16.7,14.7,0.7,,10,,,,10.3,-0.9,11.9,14.6,7.1,
1995年6月,16,27.7,7.6,17.4,15.4,0.8,,10.1,,,,10.5,-1,11.6,14.6,7.3,
1995年5月,17.6,31.6,8.1,17.8,16.5,0.8,,10,,,,10.6,-1,11.3,14.3,7.7,
1995年4月,18,32.1,8.9,18.3,17.4,1.1,,10.2,,,,11.1,-0.9,11.1,14.6,8.4,
1995年3月,18.7,32.9,9.2,19.5,19.3,1.2,,10.2,,,,11.8,-0.3,10.6,14.4,8.5,
1995年2月,19.7,35,9.1,20.4,20,1.8,,10.1,,,,12.5,0.5,10.5,13.9,9.4,
1995年1月,21.2,38.6,9.8,20.5,20.2,2.2,,10.3,,,,12.5,1.9,10.2,12.8,9.1,
1994年12月,23.2,51.4,10.7,21.6,,,,12.1,9.8,,,,,11.6,,12.4,
1994年11月,25,43.6,10.7,21.4,,,,12.2,10.1,,,,,11.4,,13.4,
1994年10月,25.2,44.5,10.7,20.8,,,,12.3,10.3,,,,,10.8,,13.6,
1994年9月,24.6,43.3,11,20.2,,,,12.4,9.8,,,,,11.1,,13,
1994年8月,23.5,40.6,11.6,19.8,,,,12.6,9.6,,,,,11.5,,13.4,
1994年7月,21.4,35.3,11.5,19.7,,,,13,9.5,,,,,11.6,,12.1,
1994年6月,20,21,11.7,19.8,,,,14,9.6,,,,,11.9,,13.3,
1994年5月,18.9,27.4,11.9,19.6,,,,14.8,10.2,,,,,11.9,,15.2,
1994年4月,19.5,28.1,12.3,19.1,,,,15.7,10.4,,,,,12.2,,16.5,
1994年3月,20.2,29.9,12,17.9,,,,15.9,10,,,,,12,,17.4,
1994年2月,20.9,31.8,11.5,17.3,,,,16,9.6,,,,,12.2,,19.1,
1994年1月,19,26.6,11,16.5,,,,16,8.1,,,,,12.8,,20.9,
1993年12月,17.6,22.7,6,9,,,,12.1,5,,,,,8.7,,27.5,
1993年11月,15.1,17.5,4.6,8.5,,,,11.4,4,,,,,8.7,,26.3,
1993年10月,14.6,15.9,6.8,8,,,,11.3,3.5,,,,,8.3,,27,
1993年9月,14.5,15,7.7,7.5,,,,11,3.4,,,,,8.7,,29.7,
1993年8月,15.1,15.7,7.8,6.7,,,,10.4,2.8,,,,,8.6,,34.1,
1993年7月,14.9,15.1,8,6.5,,,,9.4,2.5,,,,,9.4,,39.4,
1993年6月,13.9,13.4,6.8,5.9,,,,8,1.5,,,,,9,,41.6,
1993年5月,12.5,11.4,5.2,5.3,,,,6.3,0,,,,,8.9,,45.6,
1993年4月,10.9,9.8,4.2,4.6,,,,4.8,-0.9,,,,,9,,44.4,
1993年3月,10.2,10.8,4.4,4.1,,,,3.4,-1.2,,,,,10.6,,39.3,
1993年2月,8.7,9.7,3.7,3.6,,,,2.3,-1.6,,,,,10.1,,37,
1993年1月,8.4,10.2,3.8,3.6,,,,1.8,-1.9,,,,,10.1,,32.4,
1992年12月,6.8,8.3,4.4,3,,,,1.6,-3.4,,,,,9.7,,29.3,
1992年11月,6.6,8.5,4.7,2.9,,,,1.5,-3.3,,,,,9.7,,26.5,
1992年10月,6.4,8.8,5,2.8,,,,1.2,-3.5,,,,,10.1,,24.9,
1992年9月,5.7,7.6,4.2,3.2,,,,1.1,-4.4,,,,,10.9,,21.5,
1992年8月,4.8,6.7,4.4,2.8,,,,1.2,-4.3,,,,,9.9,,14.4,
1992年7月,4.3,6.1,3.9,2.8,,,,1.1,-4.8,,,,,9.6,,13.4,
1992年6月,4.2,5.8,4.2,2.8,,,,1.5,-4.9,,,,,9.7,,8.3,
1992年5月,4.1,6.1,5,2.7,,,,1.4,-4.8,,,,,9.3,,6.7,
1992年4月,6.2,11.2,4.7,2.6,,,,1.4,-4.5,,,,,8.9,,6.1,
1992年3月,5,7,5,2.6,,,,1.4,-4.5,,,,,7.9,,6.3,
1992年2月,4.9,7.2,5.3,2.7,,,,1.4,-4.5,,,,,7.4,,6.5,
1992年1月,5.1,,,,,,,,,,,,,,,,
1991年12月,4,5.3,3,3.4,,,,1.5,-4.7,,,,,5.9,,8.7,
1991年11月,4,5.2,1.7,3.3,,,,1.5,-4.6,,,,,5.4,,9.9,
1991年10月,4.3,5.5,0.8,3.9,,,,1.4,-4.2,,,,,5.2,,19.1,
1991年9月,4,5.1,0.7,3.7,,,,1.2,-4,,,,,4.7,,19,
1991年8月,4.4,5.8,0.8,3.9,,,,1.2,-3.6,,,,,4.6,,21.1,
1991年7月,4.2,5.2,0.2,3.9,,,,1.3,-3.3,,,,,4.1,,20.8,
1991年6月,4,4.3,0.2,4.1,,,,1.5,-3.1,,,,,3.6,,21.7,
1991年5月,3.1,3,0.2,4.2,,,,1.7,-3.1,,,,,3,,22.5,
1991年4月,0.6,-1.6,0.2,4.4,,,,1.8,-3,,,,,2.6,,18.2,
1991年3月,0.9,-0.9,0.9,4.5,,,,1.8,-2.8,,,,,1.4,,18.7,
1991年2月,1,-0.2,1.1,4.8,,,,1.9,-4,,,,,1.1,,16.3,
1991年1月,1.4,0.8,0.9,5.1,,,,1.8,-3.1,,,,,1.4,,15.3,
1990年12月,2.2,1.3,1.4,6.2,,,,2.2,-3.1,,,,,1.2,,13.4,
1990年11月,1.6,0.2,1.3,6.1,,,,2,-3.4,,,,,1.1,,11.6,
1990年10月,1.1,-0.2,1,5.7,,,,2,-4,,,,,0.8,,5,
1990年9月,0.8,-0.7,1.4,5.8,,,,1.8,-4,,,,,0.1,,4,
1990年8月,0.4,-1.7,0.7,5.8,,,,1.2,-3.9,,,,,0.5,,4.8,
1990年7月,0.7,-1.4,0.6,6.2,,,,1.2,-3.6,,,,,2,,5.5,
1990年6月,0.8,-1.4,0.5,6.4,,,,0.5,-3.5,,,,,2.2,,6.4,
1990年5月,2.6,1.5,0.8,7,,,,0.7,-3.2,,,,,2.8,,5,
1990年4月,3.1,1.6,1.3,7.7,,,,1.5,-2.3,,,,,3.7,,7.9,
1990年3月,3.3,1.3,0.9,8.5,,,,2.3,-1,,,,,4.3,,8.8,
1990年2月,4.1,1.8,0.2,9.6,,,,3.4,0.7,,,,,5.7,,11.2,
1990年1月,4.1,1,0.2,9.8,,,,4.2,1.6,,,,,5.2,,12.9,
1989年12月,6.4,,,,,,,,,,,,,,,,
1989年11月,7.1,,,,,,,,,,,,,,,,
1989年10月,8.7,,,,,,,,,,,,,,,,
1989年9月,11.4,,,,,,,,,,,,,,,,
1989年8月,15.2,,,,,,,,,,,,,,,,
1989年7月,19,,,,,,,,,,,,,,,,
1989年6月,21.5,,,,,,,,,,,,,,,,
1989年5月,24.3,,,,,,,,,,,,,,,,
1989年4月,25.8,,,,,,,,,,,,,,,,
1989年3月,26.3,,,,,,,,,,,,,,,,
1989年2月,27.9,,,,,,,,,,,,,,,,
1989年1月,27,,,,,,,,,,,,,,,,
1988年12月,26.7,,,,,,,,,,,,,,,,
