时间,商品零售价格指数(YOY),食品类商品零售价格指数(YOY),饮料、烟酒类商品零售价格指数(YOY),服装、鞋帽类商品零售价格指数(YOY),纺织品类商品零售价格指数(YOY),家用电器及音像器材类商品零售价格指数(YOY),文化办公用品类商品零售价格指数(YOY),日用品类商品零售价格指数(YOY),体育娱乐用品类商品零售价格指数(YOY),交通、通信用品类商品零售价格指数(YOY),家具类商品零售价格指数(YOY),化妆品类商品零售价格指数(YOY),金银珠宝类商品零售价格指数(YOY),中西药品及医疗保健用品类商品零售价格指数(YOY),书报杂志及电子出版物类商品零售价格指数(YOY),燃料类商品零售价格指数(YOY),建筑材料及五金电料类商品零售价格指数(YOY),商品零售价格指数(上月=100),食品类商品零售价格指数(上月=100),饮料、烟酒类商品零售价格指数(上月=100),服装、鞋帽类商品零售价格指数(上月=100),纺织品类商品零售价格指数(上月=100),家用电器及音像器材类商品零售价格指数(上月=100),文化办公用品类商品零售价格指数(上月=100),日用品类商品零售价格指数(上月=100),体育娱乐用品类商品零售价格指数(上月=100),交通、通信用品类商品零售价格指数(上月=100),家具类商品零售价格指数(上月=100),化妆品类商品零售价格指数(上月=100),金银珠宝类商品零售价格指数(上月=100),中西药品及医疗保健用品类商品零售价格指数(上月=100),书报杂志及电子出版物类商品零售价格指数(上月=100),燃料类商品零售价格指数(上月=100),建筑材料及五金电料类商品零售价格指数(上月=100)
2017年12月,1.4,0.1,1.4,1.3,0.5,0.4,0.7,0.9,0.7,-1.4,2.9,1.2,1.3,4.5,2.2,7.8,3.1,0.4,1,0.1,0,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.2,-1.3,0.3,0.1,1.4,0.6
2017年11月,1.3,-0.4,1.3,1.1,0.4,0.4,0.4,0.9,0.7,-1.4,3.1,1,-0.6,4.6,2.1,8.6,2.9,0.2,-0.4,0.2,0.6,0,-0.1,0,0.2,0.1,0,0.4,-0.1,0.1,0.3,0.3,2.4,0.4
2017年10月,1.3,0.2,1.2,1.1,0.4,0.3,0.4,0.7,0.7,-1.3,3.1,1.2,-0.5,5,1.8,7.7,2.8,0.3,0,0.2,0.6,0.3,-0.1,0,0.2,0,-0.1,0.3,0.1,-1.1,0.3,0.1,2.5,0.4
2017年9月,1,-0.6,1.2,1.2,0.6,0.3,0.3,0.5,0.7,-1.3,2.7,1.2,-2.2,5.1,1.8,6.2,2.5,0.4,0.4,0.1,1,0,-0.2,0.2,0.1,0.1,0,0.3,0.1,0.5,0.4,0.7,1.3,0.3
2017年8月,1.1,0.5,1.1,1.1,0.7,0.2,-0.1,0.4,0.6,-1.5,2.3,1.1,-3,5.1,1.5,6.8,2.3,0.4,1.1,0.1,-0.2,0,-0.1,0,0,0,-0.1,0.3,0,0.7,0.4,0.2,1.9,0.3
2017年7月,0.7,-0.2,1,1.3,0.7,0.1,-0.4,0.4,0.6,-1.6,2,1,-3.4,5.3,1.5,3.1,2.1,-0.2,0,0.1,-0.4,0,0,0,0,0,-0.2,0.2,0.1,-1.4,0.2,0.1,-1.8,0.1
2017年6月,0.9,-0.3,1,1.3,0.5,0,-0.5,0.4,0.6,-1.6,1.7,1.2,2.8,5.6,1.5,4.7,1.9,-0.3,-0.8,0.1,-0.2,0.1,-0.1,0,0,-0.1,-0.2,0.1,0,0,0.4,0,-1.6,0.2
2017年5月,1.1,-0.7,0.9,1.1,0.4,-0.2,-0.6,0.4,0.6,-1.6,1.6,1.4,3.2,6,1.6,8.6,1.8,-0.2,-0.6,0.1,0.1,0.3,0.1,-0.1,0.1,0.1,-0.3,0.2,0.2,-0.6,0.6,0.1,-0.6,0.2
2017年4月,0.9,-2.4,0.8,1.1,0.2,-0.5,-0.8,0.3,0.5,-1.6,1.4,1.4,5.9,5.9,1.5,11.5,1.8,-0.1,-0.4,0.2,0.2,0.2,0.2,0.1,0,0,-0.1,0.3,0.4,1.4,0.5,0,-0.9,0.2
2017年3月,0.7,-3.3,0.6,1.1,0.1,-0.9,-1.1,0.3,0.5,-1.7,1.2,1.4,3.8,5.9,1.5,12.5,1.7,-0.3,-1.7,0.3,0.6,0,0.1,0.2,0.1,-0.1,-0.2,0.2,0.1,-0.1,0.5,0,-0.4,0.2
2017年2月,0.7,-3.2,0.5,1,0.1,-1.2,-1.3,0.2,0.5,-1.6,0.9,1.4,7.3,5.8,1.4,12.5,1.3,0,-0.4,0.2,-0.3,-0.1,0.3,0,0.1,0.2,-0.1,0.2,0.1,1.9,0.3,0.1,0.2,0
2017年1月,1.9,2.8,0.2,0.8,0.2,-1.7,-1.3,0.1,0.6,-1.5,0.7,1.4,9.8,5.7,1.4,11.6,1.3,0.8,2.1,-0.1,-0.6,-0.2,0.1,0.1,0,0.1,0,0.1,0,1.4,0.3,0.5,3.5,0.2
2016年12月,1.5,2.4,0.2,1,0.4,-2,-1.6,0.2,0.6,-1.7,0.8,1.5,10.5,5.9,1.6,7.5,1.1,0.3,0.4,0,-0.2,0,0.2,0,0.2,0.2,0.1,0.3,0,-3.2,0.4,0,2.2,0.3
