Date,Gold,DXY,US 10y yield,CN 10y yield,DE 10y yield,SPX,US 2y yield,CN 2y yield,DE 2y yield
2022-06-08,1853.26,102.54,3.027,2.814,1.355,4115.77,2.778,2.265,0.701
2022-06-09,1847.61,103.22,3.046,2.807,1.435,4017.82,2.815,2.254,0.831
2022-06-10,1870.96,104.15,3.165,2.81,1.502,3900.86,3.067,2.254,0.95
2022-06-13,1818.77,105.08,3.362,2.812,1.627,3749.63,3.367,2.261,1.142
2022-06-14,1808.10,105.52,3.479,2.818,1.751,3735.48,3.439,2.265,1.208
2022-06-15,1833.38,105.16,3.292,2.828,1.652,3789.99,3.21,2.27,1.067
2022-06-16,1856.71,103.63,3.195,2.821,1.703,3666.77,3.1,2.264,1.152
2022-06-17,1839.35,104.7,3.231,2.816,1.669,3674.84,3.17,2.248,1.087
2022-06-20,1838.29,104.7,3.277,2.794,1.743,NA,3.246,2.262,1.13
2022-06-21,1832.56,104.43,3.279,2.791,1.762,3764.79,3.194,2.263,1.136
2022-06-22,1837.39,104.2,3.16,2.78,1.62,3759.89,3.062,2.257,1.032
2022-06-23,1822.43,104.43,3.089,2.784,1.427,3795.73,3.012,2.244,0.809
2022-06-24,1826.18,104.18,3.138,2.801,1.44,3911.74,3.063,2.253,0.805
2022-06-27,1822.73,103.94,3.202,2.838,1.544,3900.11,3.132,2.283,0.883
2022-06-28,1819.69,104.51,3.177,2.847,1.635,3821.55,3.112,2.289,0.946
2022-06-29,1817.11,105.11,3.087,2.838,1.504,3818.83,3.043,2.285,0.836
2022-06-30,1806.89,104.68,3.017,2.824,1.368,3785.38,2.955,2.253,0.679
2022-07-01,1810.18,105.14,2.889,2.827,1.226,3825.33,2.839,2.24,0.501
2022-07-04,1809.12,105.14,2.932,2.856,1.337,NA,2.91,2.298,0.621
2022-07-05,1764.35,106.54,2.818,2.851,1.187,3831.39,2.822,2.316,0.436
2022-07-06,1738.30,107.1,2.934,2.839,1.158,3845.08,2.996,2.313,0.378
2022-07-07,1739.61,107.13,3,2.842,1.291,3902.62,3.024,2.303,0.531
2022-07-08,1741.82,107.01,3.08,2.843,1.346,3899.38,3.105,2.303,0.53
2022-07-11,1733.67,108.02,2.993,2.824,1.25,3854.43,3.07,2.275,0.439
2022-07-12,1725.81,108.07,2.971,2.817,1.134,3818.8,3.051,2.252,0.342
2022-07-13,1735.23,107.96,2.935,2.813,1.145,3801.78,3.148,2.244,0.447
2022-07-14,1709.45,108.54,2.958,2.797,1.179,3790.38,3.128,2.22,0.501
2022-07-15,1706.78,108.06,2.928,2.792,1.128,3863.16,3.131,2.208,0.452
2022-07-18,1709.01,107.37,2.989,2.789,1.214,3830.85,3.17,2.201,0.512
2022-07-19,1711.07,106.68,3.028,2.796,1.278,3936.69,3.242,2.204,0.632
2022-07-20,1696.43,107.08,3.03,2.78,1.26,3959.9,3.236,2.185,0.613
2022-07-21,1718.49,106.91,2.882,2.77,1.22,3998.95,3.095,2.18,0.658
2022-07-22,1726.46,106.73,2.754,2.785,1.023,3961.63,2.972,2.174,0.392
2022-07-25,1718.78,106.48,2.807,2.785,1.03,3966.84,3.018,2.157,0.408
2022-07-26,1717.00,107.19,2.803,2.775,0.928,3921.05,3.059,2.118,0.351
2022-07-27,1733.89,106.45,2.785,2.771,0.938,4023.61,2.984,2.105,0.419
2022-07-28,1755.11,106.35,2.671,2.783,0.801,4072.43,2.868,2.138,0.216
2022-07-29,1765.22,105.9,2.658,2.759,0.825,4130.29,2.891,2.104,0.273
2022-08-01,1771.73,105.45,2.588,2.736,0.761,4118.63,2.886,2.06,0.241
2022-08-02,1759.75,106.24,2.748,2.733,0.782,4091.19,3.063,2.029,0.27
2022-08-03,1764.90,106.51,2.706,2.728,0.874,4155.17,3.069,2.015,0.389
2022-08-04,1790.97,105.69,2.694,2.722,0.809,4151.94,3.049,1.993,0.33
2022-08-05,1774.15,106.62,2.827,2.738,0.961,4145.19,3.23,2.018,0.472
2022-08-08,1788.52,106.43,2.75,2.743,0.897,4140.06,3.209,2.123,0.438
2022-08-09,1794.08,106.37,2.779,2.748,0.923,4122.47,3.268,2.158,0.484
2022-08-10,1792.13,105.2,2.785,2.741,0.886,4210.24,3.22,2.176,0.525
2022-08-11,1789.45,105.09,2.889,2.737,0.967,4207.27,3.227,2.185,0.557
2022-08-12,1801.76,105.63,2.842,2.739,0.99,4280.15,3.25,2.176,0.612
2022-08-15,1779.36,106.55,2.793,2.672,0.903,4297.14,3.195,2.093,0.523
2022-08-16,1775.54,106.5,2.808,2.637,0.979,4305.2,3.268,2.083,0.584
2022-08-17,1761.05,106.57,2.902,2.643,1.078,4274.04,3.285,2.076,0.718
2022-08-18,1758.20,107.48,2.886,2.624,1.098,4283.74,3.208,2.055,0.753
2022-08-19,1747.83,108.17,2.976,2.623,1.234,4228.48,3.238,2.058,0.834
2022-08-22,1735.70,109.05,3.024,2.63,1.301,4137.99,3.316,2.07,0.883
2022-08-23,1747.67,108.62,3.057,2.639,1.321,4128.73,3.302,2.088,0.852
2022-08-24,1750.89,108.68,3.109,2.639,1.363,4140.77,3.403,2.086,0.91
2022-08-25,1758.44,108.47,3.031,2.66,1.329,4199.12,3.374,2.109,0.868
2022-08-26,1736.86,108.8,3.03,2.669,1.398,4057.66,3.382,2.11,0.972
2022-08-29,1737.82,108.83,3.114,2.657,1.505,4030.61,3.431,2.092,1.094
2022-08-30,1723.55,108.77,3.112,2.639,1.51,3986.16,3.458,2.055,1.145
2022-08-31,1710.70,108.7,3.196,2.649,1.536,3955,3.495,2.054,1.198
2022-09-01,1696.09,109.69,3.259,2.633,1.571,3966.85,3.518,2.038,1.183
2022-09-02,1711.44,109.53,3.195,2.636,1.52,3924.26,3.395,2.024,1.091
2022-09-05,1710.21,109.83,3.223,2.634,1.566,NA,3.435,2.013,1.164
2022-09-06,1701.15,110.21,3.351,2.627,1.605,3908.19,3.507,2.027,1.097
2022-09-07,1717.69,109.84,3.267,2.631,1.575,3979.87,3.439,2.015,1.084
2022-09-08,1707.28,109.71,3.323,2.638,1.712,4006.18,3.512,2.043,1.326
2022-09-09,1716.05,109,3.315,2.652,1.7,4067.36,3.563,2.023,1.319
2022-09-12,1724.07,108.33,3.358,NA,1.645,4110.41,3.576,NA,1.295
2022-09-13,1701.55,109.82,3.412,2.653,1.724,3932.69,3.746,2.031,1.384
2022-09-14,1695.80,109.66,3.404,2.66,1.698,3946.01,3.788,2.031,1.407
