Date,NFP_monthly_change
1987-07-01,347
1987-08-01,173
1987-09-01,227
1987-10-01,491
1987-11-01,234
1987-12-01,289
1988-01-01,92
1988-02-01,461
1988-03-01,275
1988-04-01,243
1988-05-01,230
1988-06-01,364
1988-07-01,224
1988-08-01,124
1988-09-01,339
1988-10-01,263
1988-11-01,341
1988-12-01,281
1989-01-01,263
1989-02-01,266
1989-03-01,194
1989-04-01,170
1989-05-01,122
1989-06-01,114
1989-07-01,42
1989-08-01,51
1989-09-01,249
1989-10-01,107
1989-11-01,276
1989-12-01,84
1990-01-01,353
1990-02-01,243
1990-03-01,205
1990-04-01,34
1990-05-01,163
1990-06-01,23
1990-07-01,-35
1990-08-01,-212
1990-09-01,-90
1990-10-01,-146
1990-11-01,-154
1990-12-01,-52
1991-01-01,-117
1991-02-01,-320
1991-03-01,-162
1991-04-01,-217
1991-05-01,-102
1991-06-01,88
1991-07-01,-48
1991-08-01,12
1991-09-01,31
1991-10-01,29
1991-11-01,-62
1991-12-01,30
1992-01-01,37
1992-02-01,-55
1992-03-01,49
1992-04-01,154
1992-05-01,133
1992-06-01,69
1992-07-01,82
1992-08-01,124
1992-09-01,31
1992-10-01,181
1992-11-01,145
1992-12-01,220
1993-01-01,295
1993-02-01,249
1993-03-01,-52
1993-04-01,303
1993-05-01,275
1993-06-01,181
1993-07-01,309
1993-08-01,149
1993-09-01,245
1993-10-01,280
1993-11-01,256
1993-12-01,334
1994-01-01,274
1994-02-01,181
1994-03-01,461
1994-04-01,347
1994-05-01,336
1994-06-01,314
1994-07-01,370
1994-08-01,292
1994-09-01,354
1994-10-01,205
1994-11-01,415
1994-12-01,303
1995-01-01,328
1995-02-01,189
1995-03-01,214
1995-04-01,158
1995-05-01,-15
1995-06-01,236
1995-07-01,91
1995-08-01,262
1995-09-01,241
1995-10-01,149
1995-11-01,139
1995-12-01,157
1996-01-01,-7
1996-02-01,416
1996-03-01,256
1996-04-01,166
1996-05-01,333
1996-06-01,281
1996-07-01,246
1996-08-01,185
1996-09-01,201
1996-10-01,261
1996-11-01,286
1996-12-01,196
1997-01-01,218
1997-02-01,312
1997-03-01,314
1997-04-01,295
1997-05-01,267
1997-06-01,265
1997-07-01,296
1997-08-01,-20
1997-09-01,485
1997-10-01,346
1997-11-01,307
1997-12-01,321
1998-01-01,262
1998-02-01,205
1998-03-01,146
1998-04-01,281
1998-05-01,401
1998-06-01,231
1998-07-01,132
1998-08-01,338
1998-09-01,198
1998-10-01,205
1998-11-01,275
1998-12-01,373
1999-01-01,106
1999-02-01,414
1999-03-01,115
1999-04-01,362
1999-05-01,215
1999-06-01,278
1999-07-01,335
1999-08-01,146
1999-09-01,212
1999-10-01,398
1999-11-01,288
1999-12-01,314
2000-01-01,228
2000-02-01,111
2000-03-01,484
2000-04-01,279
2000-05-01,223
2000-06-01,-46
2000-07-01,168
2000-08-01,3
2000-09-01,126
2000-10-01,-5
2000-11-01,201
2000-12-01,165
2001-01-01,-19
2001-02-01,87
2001-03-01,-35
2001-04-01,-296
2001-05-01,-44
2001-06-01,-115
2001-07-01,-123
2001-08-01,-149
2001-09-01,-259
2001-10-01,-313
2001-11-01,-311
2001-12-01,-157
2002-01-01,-131
2002-02-01,-121
2002-03-01,-12
2002-04-01,-104
2002-05-01,16
2002-06-01,50
2002-07-01,-97
2002-08-01,2
2002-09-01,-89
2002-10-01,123
2002-11-01,-4
2002-12-01,-148
2003-01-01,111
2003-02-01,-137
2003-03-01,-211
2003-04-01,-56
2003-05-01,20
2003-06-01,-4
2003-07-01,-8
2003-08-01,-31
2003-09-01,99
2003-10-01,187
2003-11-01,43
2003-12-01,112
2004-01-01,172
2004-02-01,56
2004-03-01,317
2004-04-01,270
2004-05-01,284
2004-06-01,96
2004-07-01,61
2004-08-01,86
2004-09-01,147
2004-10-01,352
2004-11-01,74
2004-12-01,124
2005-01-01,146
2005-02-01,254
2005-03-01,121
2005-04-01,361
2005-05-01,172
2005-06-01,252
2005-07-01,358
2005-08-01,198
2005-09-01,57
2005-10-01,94
2005-11-01,355
2005-12-01,159
2006-01-01,265
2006-02-01,307
2006-03-01,309
2006-04-01,169
2006-05-01,37
2006-06-01,81
2006-07-01,194
2006-08-01,166
2006-09-01,137
2006-10-01,24
2006-11-01,219
2006-12-01,183
2007-01-01,224
2007-02-01,81
2007-03-01,226
2007-04-01,60
2007-05-01,151
2007-06-01,79
2007-07-01,-30
2007-08-01,-25
2007-09-01,86
2007-10-01,72
2007-11-01,116
2007-12-01,105
2008-01-01,1
2008-02-01,-71
2008-03-01,-70
2008-04-01,-219
2008-05-01,-190
2008-06-01,-158
2008-07-01,-197
2008-08-01,-283
2008-09-01,-450
2008-10-01,-465
2008-11-01,-748
2008-12-01,-698
2009-01-01,-782
2009-02-01,-752
2009-03-01,-820
2009-04-01,-669
2009-05-01,-355
2009-06-01,-467
2009-07-01,-342
2009-08-01,-181
2009-09-01,-239
2009-10-01,-180
2009-11-01,-2
2009-12-01,-252
2010-01-01,-12
2010-02-01,-93
2010-03-01,163
2010-04-01,250
2010-05-01,530
2010-06-01,-144
2010-07-01,-81
2010-08-01,3
2010-09-01,-83
2010-10-01,280
2010-11-01,134
2010-12-01,82
2011-01-01,3
2011-02-01,215
2011-03-01,224
2011-04-01,326
2011-05-01,100
2011-06-01,232
2011-07-01,56
2011-08-01,131
2011-09-01,223
2011-10-01,211
2011-11-01,144
2011-12-01,201
2012-01-01,341
2012-02-01,278
2012-03-01,224
2012-04-01,83
2012-05-01,107
2012-06-01,73
2012-07-01,145
2012-08-01,176
2012-09-01,183
2012-10-01,160
2012-11-01,159
2012-12-01,243
2013-01-01,189
2013-02-01,285
2013-03-01,142
2013-04-01,186
2013-05-01,214
2013-06-01,179
2013-07-01,122
2013-08-01,243
2013-09-01,185
2013-10-01,220
2013-11-01,273
2013-12-01,55
2014-01-01,184
2014-02-01,159
2014-03-01,277
2014-04-01,311
2014-05-01,202
2014-06-01,333
2014-07-01,243
2014-08-01,181
2014-09-01,307
2014-10-01,240
2014-11-01,284
2014-12-01,278
2015-01-01,196
2015-02-01,269
2015-03-01,94
2015-04-01,277
2015-05-01,337
2015-06-01,156
2015-07-01,294
2015-08-01,141
2015-09-01,135
2015-10-01,319
2015-11-01,226
2015-12-01,273
2016-01-01,113
2016-02-01,215
2016-03-01,255
2016-04-01,190
2016-05-01,45
2016-06-01,251
2016-07-01,363
2016-08-01,149
2016-09-01,297
2016-10-01,108
2016-11-01,119
2016-12-01,222
2017-01-01,226
2017-02-01,212
2017-03-01,128
2017-04-01,197
2017-05-01,216
2017-06-01,199
2017-07-01,184
2017-08-01,135
2017-09-01,92
2017-10-01,147
2017-11-01,229
2017-12-01,146
2018-01-01,146
2018-02-01,387
2018-03-01,226
2018-04-01,146
2018-05-01,329
2018-06-01,213
2018-07-01,55
2018-08-01,251
2018-09-01,87
2018-10-01,164
2018-11-01,97
2018-12-01,182
2019-01-01,258
2019-02-01,5
2019-03-01,227
2019-04-01,308
2019-05-01,38
2019-06-01,204
2019-07-01,90
2019-08-01,221
2019-09-01,203
2019-10-01,100
2019-11-01,208
2019-12-01,126
2020-01-01,253
2020-02-01,264
2020-03-01,-1411
2020-04-01,-20477
2020-05-01,2619
2020-06-01,4615
2020-07-01,1585
2020-08-01,1534
2020-09-01,1046
2020-10-01,673
2020-11-01,268
2020-12-01,-243
2021-01-01,398
2021-02-01,527
2021-03-01,831
2021-04-01,319
2021-05-01,451
2021-06-01,778
2021-07-01,939
2021-08-01,465
2021-09-01,480
2021-10-01,860
2021-11-01,631
2021-12-01,566
2022-01-01,251
2022-02-01,862
2022-03-01,494
2022-04-01,272
2022-05-01,286
2022-06-01,420
2022-07-01,690
2022-08-01,243
2022-09-01,255
2022-10-01,361
2022-11-01,258
2022-12-01,136
2023-01-01,482
2023-02-01,287
2023-03-01,146
2023-04-01,278
2023-05-01,303
2023-06-01,240
2023-07-01,184
2023-08-01,210
2023-09-01,246
2023-10-01,165
2023-11-01,182
2023-12-01,290
2024-01-01,256
2024-02-01,236
2024-03-01,315
2024-04-01,175
